id|code|answers|content|note
522|CIP41.1.2|{'yes':'<b>Да</b>, возможно изменение ставки, при этом договор <b><ins>НЕ устанавливает</ins></b> шаг  изменения и/или степень изменения ставки ','no_with_condition':'<b>Нет</b>, предусмотрены условия, изменяющие  процентную ставку <b><ins>И С установлением</ins></b> шага/степени изменения ставки,<ins><b> И БЕЗ установления </ins></b> шага/степени изменения ставки','no_with_step':'<b>Нет</b>, возможно изменение ставки, но договор устанавливает шаг изменения и/или степень ','no_not_condition':'<b>Нет</b>, в договоре нет условий, изменяющих ставку'}|Предусмотрено ли договором безусловное или условное право Кредитора изменять процентную ставку, при этом договор <ins><b>НЕ устанавливает</ins></b> «шаг» изменения и/или степень зависимости ставки от наступления условного события?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>1) Ответ на вопрос "Нет, возможно изменение ставки, но договор устанавливает «шаг» изменения и/или степень", в случаях если договором предусмотрены условия, изменяющие процентную ставку и при этом установлен шаг/степень изменения ставки. Например, таким условием будет являться: "В случае отсутствия страхования залога в аккредитованных страховых компаниях, процентная ставка по договору увеличивается на 2%";<br><br>2) Ответ на вопрос "Да, возможно изменение ставки, при этом договор НЕ устанавливает «шаг» изменения и/или степень изменения ставки", в случаях если договором предусмотрены условия, изменяющие процентную ставку, но при этом шаг/степень изменения ставки не установлен. Например, таким условием будет являться: "Банк оставляет за собой право в одностороннем порядке производить изменение ставки по договору в том числе, но не исключительно, при условии принятия Банком России решения об изменении ключевой ставки";<br><br>3) Ответ на вопрос "Нет, предусмотрены условия изменяющие процентную ставку И С установлением «шага»/степени изменения ставки, И БЕЗ установления «шага»/степени изменения ставки", в случаях если договором предусмотрены оба вида условий, описанных в пунктах 1 и 2;<br><br>4) Ответ на вопрос "Нет, в договоре нет условий, изменяющих ставку", в случаях если договором не предусмотрены условия, изменяющие величину процентной ставки.
523|CIP41.2.1.2||Соблюдаются ли следующие условия?<br><br>- Договором предусмотрено право досрочного погашения в случае пересмотра ставки со стороны Кредитора?<br>- В договоре отсутствует условие, которое прямо или косвенно ограничивает Заемщика в возможности рефинансировать задолженность в другом банке?<br>- Рынок банковских услуг, в рамках которого оперирует Заемщик, является конкурентным (т.о., обеспечивая Заемщику возможность рефинансирования и сдерживая необоснованный рост ставок)?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки со стороны Банка.
524|CIP41.2.2.2||Соблюдаются ли следующие условия?<br><br>- Договором предусмотрено право досрочного погашения в случае пересмотра ставки со стороны Кредитора?<br>- В договоре отсутствует условие, которое прямо или косвенно ограничивает Заемщика в возможности рефинансировать задолженность в другом банке?<br>- Рынок банковских услуг, в рамках которого оперирует Заемщик, является конкурентным (т.о., обеспечивая Заемщику возможность рефинансирования и сдерживая необоснованный рост ставок)?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки со стороны Банка.
525|CIP42.1.2|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения стоимости фондирования?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Например, Банк выдал Заемщику кредит в рамках программы стимулирования ипотечного кредитования. Процентная ставка по кредитному договору составляет 10%. В рамках программы Банк вправе получить определенный объем средств у Банка России по сниженной (льготной) процентной ставке и направлять его на цели ипотечного кредитования. Условиями договора предусмотрено, что в случае приостановки или прекращения действия программы по любой причине в течение действия кредитного договора (в том числе, если Заемщик перестал удовлетворять критериям участника программы), то Банк начинает дополнительно взимать с Заемщика на периодической основе плату за обслуживание кредита в размере 4% годовых от остатка задолженности.
526|CIP42.2.2|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к повышению ставки по кредиту?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Например:<br><br>В случае отсутствия страхования залогового обеспечения в аккредитованных страховых компаниях, процентная ставка по договору увеличивается на 2%.
527|CIP42.3.2||Процентная ставка меняется в зависимости от наличия и объема кросс-продаж?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Например: "Банк вправе увеличить размер процентной ставки на 2 (Два) процента годовых, в случае невыполнения условия поддержания среднедневных остатков по счетам Заемщика в Банке"
528|CIP42.3.1.2||Договор предусматривает право заемщика на досрочное погашение кредита (в т.ч. в случае увеличения процентной ставки)?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки при невыполнении условий кросс-продаж.
529|CIP42.3.2.2||Элемент кросс-продаж отвечает характеристикам, приведенным в мотивированном суждении Банка об изменении процентной ставки в зависимости от кросс-продаж?|
530|CIP42.3.3.2||Влияние элемента кросс-продаж на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
531|CIP42.4.2||Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к понижению ставки по кредиту?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Ответ "Да", если договором предусмотрено условие, снижающее процентную ставку на определенное количество процентных пунктов при росте кредитных рисков.<br><br>Например:<br><br>"В случае отсутствия страхования залогового обеспечения в аккредитованных страховых компаниях, процентная ставка по договору снижается на 2%"
532|CIP42.5.2||Процентная ставка меняется в зависимости от изменения рыночных котировок (котировки на фондовых, валютных, сырьевых рынках, цены на товары/услуги)?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Например:<br><br>"По кредитному договору установлена фиксированная процентная ставка 8%. Условием договора предусмотрено, что если за предыдущий процентный период средний курс EUR превысит значение 84 рубля, то процентная ставка составит 12%"
533|CIP42.6.2||Выявлены прочие компоненты и параметры процентной ставки?|
534|CIP42.6.1.2||Влияние элемента на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
535|CIP43||ГИ содержит компонент, который приводит к конвертации обязательств в другую валюту?|Например:<br><br>Между Банком и Заемщиком заключен кредитный договор в долларах США. Договором предусмотрено, что при достижении ценой на нефть показателя 50 руб./баррель обязательства Заемщика пересчитываются в рубли.
536|CIP44||Валюта обязательств изменяется по спот-курсу на дату конвертации?|Например:<br><br>Между Банком и Заемщиком заключен кредитный договор в долларах США. Договором предусмотрено, что при достижении ценой на нефть показателя 50 руб./баррель обязательства Заемщика пересчитываются в рубли по спот-курсу <b><ins>на дату конвертации.</ins></b> В таком случае - ответ "Да".<br><br>Между Банком и Заемщиком заключен кредитный договор в долларах США. Договором предусмотрено, что при достижении ценой на нефть показателя 50 руб./баррель обязательства Заемщика пересчитываются в рубли по курсу ЦБ РФ USD <b><ins>на дату выдачи кредита.</b></ins> В таком случае - ответ "Нет".
537|CIP45||Какая процентная ставка применяется к инструменту <b><ins>после конвертации обязательств в другую валюту</ins></b>?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>"Плавающая" ставка задается формулой. Например:  "LIBOR 3M USD + 4%".<br><br>При этом, не является "плавающей" ставка, которая задается конкретным числовым значением, но может меняться в зависимости от (не)наступления условных событий. То есть, в случае если ставка является "переменной", то ответ "фиксированная".
538|CIP46.1||Отражает ли базовая ставка / индекс инфляции (в случае индексации ставки на уровень инфляции) временную стоимость денег в валюте договора?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Если валюта договора отличается от валюты базового индикатора, определенных на период пролонгации, то указывается ответ "Нет". Например, по сделке в USD на период пролонгации предусмотрено начисление процентов по плавающей ставке с базовым индикатором Mosprime - в таком случае ответ "Нет".
539|CIP46.2||Содержит ли договор инверсированную плавающую процентную ставку?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Инверсированная ставка - это плавающая ставка, изменяющаяся в направлении обратном к изменениям значений базового индикатора. То есть, чем больше значение базового индикатора, тем меньше значение процентной ставки по сделке.<br><br>Пример:<br><br>В соответствии с условиями кредита, процентная ставка устанавливаемая условиями ПФИ, изменяющего валюту договора, рассчитывается как: «10% - Libor 3M», то есть ставка на процентный период равна разнице между фиксированной маржой и значением Libor 3M. Таким образом, чем больше значение базового индикатора, тем меньше процентная ставка по сделке.
540|CIP46.3||Присутствует ли эффект рычага в отношении ставки?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Если при расчете величины процентной ставки по сделке с плавающей процентной ставкой перед базовым индикатором присутствует коэффициент, величина которого по модулю > 1, то ответ "Да".<br><br>Например:<br>Если базовая ставка задается как "LIBOR 3M USD", то коэффициент = 1 - ответ "Нет";<br>Если базовая ставка задается как "4 * LIBOR 3M USD", то коэффициент = 4 - ответ "Да";<br>Если базовая ставка задается как "-3 * LIBOR 3M USD", то коэффициент = -3 - ответ "Да".
541|CIP46.4||Дата начала процентного периода соответствует дате котировки?)|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Например: По кредиту со сроком действия 5 лет, установлена плавающая ставка MosPrime3M+4%. Расчет процентов к начислению производится ежеквартально на начало процентного периода на основании значения базовой ставки MosPrime3M, установленной на начало предыдущего процентного периода.<br><br>Таким образом, для расчета процентных платежей на 01.04.2017 используется котировка MosPrime3M на дату 01.01.2017 - ответ "Нет".
542|CIP46.5||Срок базовой ставки соответствует частоте ее пересмотра?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Например:<br><br>Если по сделке, применяется плавающая процентная ставка, которая определяется как MosPrime3M + 2%, и значение котировки базового индикатора MosPrime3M определяется (актуализируется) ежеквартально (то есть каждые 3 месяца), то ответ - "Да".<br><br>Если по сделке применяется плавающая процентная ставка, которая определяется как MosPrime3M + 2%, и значение котировки базового индикатора MosPrime3M  определяется (актуализируется) раз в полгода (то есть каждые 6 месяцев), то ответ - "Нет".<br><br>Если по сделке применяется плавающая процентная ставка, которая рассчитывается как среднеарифметическое ставок MosPrime3M и MosPrime12M, то срочность базового индикатора определить невозможно и ответ также - "Нет".
543|CIP46.6||Наличие прочих условий, которые модифицируют элемент временной стоимости денег?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Например:<br><br>1) условие, предусматривающее периодический пересмотр процентной ставки по активу до среднего значения определённых краткосрочных и долгосрочных ставок;<br><br>2) условие, предусматривающее пересмотр процентной ставки на полугодовой основе до уровня, отражающего текущее значение кривой доходности по инструментам с пятилетним сроком погашения.
544|CIP46.7.1||Разница между датой начала процентного периода и котировкой базового индикатора не превышает 30 дней или используется наиболее актуальная из возможных котировок?|
545|CIP46.7.2||Отклонение в потоках по всем сценариям за любой отчетный период и кумулятивно на весь срок действия инструмента равно или превышает 10%?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Если Benchmark-тест не пройден, то ставится "Да"
546|CIP47.1|{'yes':'<b>Да</b>, возможно изменение ставки, при этом договор <b><ins>НЕ устанавливает</ins></b> шаг  изменения и/или степень изменения ставки ','no_with_condition':'<b>Нет</b>, предусмотрены условия, изменяющие  процентную ставку <b><ins>И С установлением</ins></b> шага/степени изменения ставки,<ins><b> И БЕЗ установления </ins></b> шага/степени изменения ставки','no_with_step':'<b>Нет</b>, возможно изменение ставки, но договор устанавливает шаг изменения и/или степень ','no_not_condition':'<b>Нет</b>, в договоре нет условий, изменяющих ставку'}|Предусмотрено ли договором безусловное или условное право Кредитора изменять процентную ставку, при этом договор <b><ins>НЕ устанавливает</ins></b> «шаг» изменения и/или степень зависимости ставки от наступления условного события?|Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.<br><br>1) Ответ на вопрос "Нет, возможно изменение ставки, но договор устанавливает «шаг» изменения и/или степень", в случаях если договором предусмотрены условия, изменяющие процентную ставку и при этом установлен шаг/степень изменения ставки. Например, таким условием будет являться: "В случае отсутствия страхования залога в аккредитованных страховых компаниях, процентная ставка по договору увеличивается на 2%";<br><br>2) Ответ на вопрос "Да, возможно изменение ставки, при этом договор НЕ устанавливает «шаг» изменения и/или степень изменения ставки", в случаях если договором предусмотрены условия, изменяющие процентную ставку, но при этом шаг/степень изменения ставки не установлен. Например, таким условием будет являться: "Банк оставляет за собой право в одностороннем порядке производить изменение ставки по договору в том числе, но не исключительно, при условии принятия Банком России решения об изменении ключевой ставки";<br><br>3) Ответ на вопрос "Нет, предусмотрены условия изменяющие процентную ставку <ins>И С</ins> установлением «шага»/степени изменения ставки, <ins>И БЕЗ</ins> установления «шага»/степени изменения ставки", в случаях если договором предусмотрены оба вида условий, описанных в пунктах 1 и 2;<br><br>4) Ответ на вопрос "Нет, в договоре нет условий, изменяющих ставку", в случаях если договором не предусмотрены условия, изменяющие величину процентной ставки.
547|CIP47.2.1||Соблюдаются ли следующие условия?<br><br>- Договором предусмотрено право досрочного погашения в случае пересмотра ставки со стороны Кредитора?<br>- В договоре отсутствует условие, которое прямо или косвенно ограничивает Заемщика в возможности рефинансировать задолженность в другом банке?<br>- Рынок банковских услуг, в рамках которого оперирует Заемщик, является конкурентным (т.о., обеспечивая Заемщику возможность рефинансирования и сдерживая необоснованный рост ставок)?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки со стороны Банка.
548|CIP47.2.2||Соблюдаются ли следующие условия?<br><br>- Договором предусмотрено право досрочного погашения в случае пересмотра ставки со стороны Кредитора?<br>- В договоре отсутствует условие, которое прямо или косвенно ограничивает Заемщика в возможности рефинансировать задолженность в другом банке?<br>- Рынок банковских услуг, в рамках которого оперирует Заемщик, является конкурентным (т.о., обеспечивая Заемщику возможность рефинансирования и сдерживая необоснованный рост ставок)?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки со стороны Банка.
549|CIP48.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения стоимости фондирования?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Ответ "Да" если договором предусмотрено условие, изменяющее процентную ставку на определенное количество процентных пунктов в зависимости от изменения стоимости фондирования.<br><br>Например, Банк выдал Заемщику кредит в рамках программы стимулирования ипотечного кредитования. Процентная ставка по кредитному договору составляет 10%. В рамках программы Банк вправе получить определенный объем средств у Банка России по сниженной (льготной) процентной ставке и направлять его на цели ипотечного кредитования. Условиями договора предусмотрено, что в случае приостановки или прекращения действия программы по любой причине в течение действия кредитного договора (в том числе, если Заемщик перестал удовлетворять критериям участника программы), процентная ставка по кредитному договору увеличивается до 11%.
550|CIP48.2|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к повышению ставки по кредиту?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Например:<br><br>"В случае отсутствия страхования залогового обеспечения в аккредитованных страховых компаниях, процентная ставка по договору увеличивается на 2%".
551|CIP48.3||Процентная ставка меняется в зависимости от наличия и объема кросс-продаж?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Например: "Банк вправе увеличить размер процентной ставки на 2 (Два) процента годовых, в случае не выполнения условия поддержания среднедневных остатков по счетам Заемщика в Банке"
552|CIP48.3.1||Договор предусматривает право заемщика на досрочное погашение кредита (в т.ч. в случае увеличения процентной ставки)?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки при невыполнении условий кросс-продаж.
553|CIP48.3.2||Элемент кросс-продаж отвечает характеристикам, приведенным в мотивированном суждении Банка об изменении процентной ставки в зависимости от кросс-продаж?|
554|CIP48.3.3||Влияние элемента кросс-продаж на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
555|CIP48.4||Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к понижению ставки по кредиту?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Ответ "Да", если договором предусмотрено условие, снижающее процентную ставку на определенное количество процентных пунктов при росте кредитных рисков.<br><br>Например:<br><br>"В случае отсутствия страхования залогового обеспечения в аккредитованных страховых компаниях, процентная ставка по договору снижается на 2%"
556|CIP48.5||Процентная ставка меняется в зависимости от изменения рыночных котировок (котировки на фондовых, валютных, сырьевых рынках, цены на товары/услуги)?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего валюту договора.</i><br><br>Например:<br><br>"По кредитному договору установлена фиксированная процентная ставка 8%. Условием договора предусмотрено, что если за предыдущий процентный период средний курс EUR превысит значение 84 рубля, то процентная ставка составит 12%"
557|CIP48.6||Выявлены прочие компоненты и параметры процентной ставки?|
558|CIP48.6.1||Влияние элемента на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
559|CIP49|{'yes':'Да','no':'Нет, компонент отсутствует'}|ГИ содержит компонент, который изменяет сроки возникновения потоков, не меняя суммы основного долга, при этом проценты начисляются на фактический остаток долга?|
560|CIP50|{'yes':'Да','not_component':'Нет, компонент отсутствует','no_amount_update':'Нет, сумма обязательств изменятся в зависимости от инфляции, но ИИ<> Валюте договора или присутствует эффект "рычага"'}|ГИ содержит компонент, который приводит к изменению суммы обязательств в зависимости от индекса инфляции (при этом индекс инфляции соответствует валюте договора и отсутствует эффект рычага)|Анализируется зависимость денежного потока по кредиту от индекса инфляции.<br><br>Ответ "Да", сделка с учетом встроенного ПФИ содержит компонент, изменяющий величину обязательств Заемщика в зависимости от индекса инфляции.
561|CIP51||ГИ содержит компонент, который приводит к изменению суммы обязательств Заемщика в зависимости от котировок на фондовых, валютных или сырьевых рынках?|Анализируется изменение CF при изменении котировок.<br><br>Например:<br><br>1) Условием договора предусмотрено, что если по итогам процентного периода индекс цен на медь превышает значение 70 долларов США/тонну, то Заемщик должен совершить дополнительный платеж в размере 2% от остатка задолженности;<br><br>2) Условием договора предусмотрено, что если за предыдущий процентный период средний индекс ММВБ превысит значение 2400 пунктов, то Заемщик должен совершить дополнительный платеж в размере 1% от остатка задолженности;<br><br>3) Условием договора предусмотрено, что если за предыдущий процентный период средний курс EUR превысит значение 84 рубля, то Заемщик должен совершить дополнительный платеж в размере 1% от остатка задолженности
562|CIP52||ГИ содержит компоненты, которые приводят к изменению суммы обязательств Заемщика в зависимости от прочих факторов?|
563|CIP52.1||Прочие факторы согласованы с УМО и признаны проходящими SPPI-тест?|
564|CIP53||Договор отвечает прочим критериям связанности с другими договорами, которые бы обуславливали возможность совместного учета таких договоров? Основные критерии:<br>- договоры подписаны в одну дату; <br>- договоры заключены с одним и тем же контрагентом;<br>- договоры подвержены одинаковым рискам;<br>- нет обоснованной экономической потребности или бизнес-цели учитывать договоры отдельно|Иногда кредитные договоры могут быть связаны с иными договорами - наиболее часто распространенные случаи представляют собой сделки SWAP, сделки купли-продажи ценных бумаг, ПФИ на продажу ценных бумаг. Критериями связанности являются следующие случаи:<br><br> -договоры заключены в один день или в близкие даты (5 рабочих дней);<br><br>-договоры заключены с одним и тем же контрагентом / группой контрагента;<br><br>-договоры подвержены одинаковым рискам;<br><br>-нет обоснованной экономической потребности или бизнес-цели учитывать договоры отдельно.
565|CIP54||По итогам анализа совокупность договоров представляет собой ПФИ?|Например:<br><br>Организация А выдает Организации Б кредит сроком действия 5 лет с фиксированной процентной ставкой. В свою очередь, Организация Б выдает Организации А кредит сроком действия 5 лет с плавающей процентной ставкой на ту же сумму. Между организациями подписано соглашение о взаимозачете.<br><br>Описанные инструменты отвечают определению ПФИ в комбинации друг с другом, а именно, имеется базовая переменная (процентная ставка), отсутствуют первоначальные чистые инвестиции при приобретении или имеется сравнительно небольшая первоначальная чистая инвестиция по сравнению с другими видами договоров, которые, согласно ожиданиям, реагировали бы аналогичным образом на изменения рыночных факторов; кроме того, расчеты будут осуществляться в будущем. Комбинация инструментов равнозначна заключению процентного свопа (interest rate swap) при отсутствии первоначальных чистых инвестиций.
